proms_indicator,proms_indicator_protocol,year,phase,Fair,Poor,evt,ivt,secondary_prevention,Americas,Asia,multi_region,AIS_TIA,SAH,funding,sample_by_100,year_sq,sample_by_100_sq
1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,2.56,49,6.5536
1,1,7,0,0,0,0,0,0,0,0,0,1,0,1,5.03,49,25.300900000000002
0,0,7,0,1,0,0,1,0,0,0,0,1,0,0,1.83,49,3.3489000000000004
1,1,7,0,1,0,0,0,0,0,0,0,0,0,0,1.04,49,1.0816000000000001
0,0,7,0,1,0,0,0,0,0,1,0,1,0,1,2.7,49,7.290000000000001
1,1,7,0,0,0,0,0,0,0,0,1,0,0,1,5,49,25
0,0,7,0,0,1,0,1,0,0,1,0,1,0,1,1.66,49,2.7556
1,1,7,1,1,0,0,0,0,0,1,0,0,0,0,2.01,49,4.040099999999999
0,1,8,0,1,0,1,0,0,1,0,0,1,0,1,1.82,64,3.3124000000000002
1,1,8,0,1,0,0,0,1,0,0,0,1,0,0,30.96,64,958.5216
1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,23.25,64,540.5625
1,1,8,0,1,0,0,1,0,1,0,0,1,0,1,3.13,64,9.796899999999999
0,0,8,0,1,0,1,0,0,1,0,0,1,0,1,1.98,64,3.9204
0,0,8,0,1,0,0,0,0,0,0,0,1,0,0,1.28,64,1.6384
0,0,8,0,0,0,0,0,1,1,0,0,1,0,1,48.81,64,2382.4161000000004
0,0,8,1,1,0,1,0,0,1,0,0,1,0,1,2.06,64,4.2436
1,1,8,0,0,0,0,1,0,0,0,0,1,0,0,5.03,64,25.300900000000002
0,0,8,0,1,0,0,0,0,0,0,0,1,0,0,6.42,64,41.2164
1,1,8,0,1,0,0,0,0,0,0,0,0,1,0,0.41,64,0.16809999999999997
0,0,9,0,1,0,0,0,0,0,1,0,1,0,1,1.6,81,2.5600000000000005
0,1,9,1,0,0,0,0,0,1,0,0,0,0,1,0.51,81,0.2601
1,1,9,0,1,0,0,0,0,1,0,0,1,0,1,11.51,81,132.4801
0,1,9,1,0,1,0,0,1,0,1,0,1,0,1,6.75,81,45.5625
1,1,9,0,0,1,0,0,0,0,0,1,1,0,1,10.78,81,116.20839999999998
1,1,9,0,1,0,0,0,0,0,0,0,1,0,1,3.03,81,9.1809
0,1,9,0,1,0,0,1,0,0,0,1,1,0,1,2.25,81,5.0625
0,0,9,1,0,0,0,0,0,1,0,0,0,0,0,2.94,81,8.6436
0,0,9,0,0,0,0,1,0,0,0,1,1,0,1,6.76,81,45.697599999999994
0,0,9,0,1,0,1,0,0,1,0,0,1,0,1,2.7,81,7.290000000000001
1,1,9,0,1,0,0,0,0,1,0,0,0,0,1,5.06,81,25.603599999999997
1,1,9,0,0,1,0,0,0,0,0,1,1,0,1,22.27,81,495.9529
1,1,9,0,0,1,0,0,0,0,0,0,0,0,0,11.49,81,132.0201
0,0,9,1,1,0,0,0,0,0,0,0,1,0,0,0.5,81,0.25
1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,31.27,81,977.8129
1,1,10,0,1,0,0,1,0,0,1,0,1,0,0,6.56,100,43.03359999999999
0,0,10,0,1,0,0,1,0,0,1,0,1,0,0,1.31,100,1.7161000000000002
0,0,10,1,1,0,0,0,0,0,0,0,1,0,0,1.88,100,3.5343999999999998
1,1,10,1,1,0,0,0,1,1,0,0,1,0,1,3.05,100,9.302499999999998
0,1,10,0,0,0,0,0,0,1,0,0,1,0,1,11.05,100,122.10250000000002
0,0,10,1,0,0,0,0,0,0,0,1,1,0,1,5.85,100,34.2225
0,1,10,0,0,1,1,0,0,0,1,0,1,0,0,1.31,100,1.7161000000000002
1,1,10,0,1,0,1,0,0,1,0,0,1,0,1,2.21,100,4.8841
0,0,10,1,1,0,0,1,0,0,1,0,1,0,1,3,100,9
